ts,open,high,low,close,volume
1771803000000,67568.4,67572.3,67453.9,67475.0,141.237
1771803900000,67475.0,67690.0,67455.9,67610.5,261.354
1771804800000,67610.5,67652.2,67551.2,67596.8,237.786
1771805700000,67596.8,67596.9,67361.5,67432.5,323.841
1771806600000,67432.5,67432.6,67115.7,67150.0,821.49
1771807500000,67150.0,67150.0,66673.8,66697.0,3261.196
1771808400000,66697.0,66697.0,65200.0,65443.0,9284.354
1771809300000,65443.0,65473.5,64926.7,65005.1,4315.672
1771810200000,65005.1,65375.9,64950.4,65080.4,2603.11
1771811100000,65080.4,65126.4,64220.0,64385.7,6676.305
1771812000000,64385.7,64750.0,64241.9,64718.5,2409.775
1771812900000,64718.5,64774.0,64478.8,64721.4,1175.024
1771813800000,64721.4,64879.6,64640.1,64806.8,1211.66
1771814700000,64806.8,64856.0,64660.0,64743.1,814.264
1771815600000,64743.1,65057.1,64729.0,64895.4,1255.262
1771816500000,64895.4,64895.4,64661.0,64727.1,473.022
1771817400000,64727.1,64979.0,64676.0,64979.0,691.788
1771818300000,64979.0,64983.7,64864.0,64895.1,290.745
1771819200000,64895.1,64997.6,64779.5,64987.6,548.503
1771820100000,64987.6,64987.6,64676.8,64736.3,568.314
1771821000000,64736.3,64785.2,64636.3,64687.0,370.008
1771821900000,64687.0,64796.1,64670.0,64779.7,169.021
1771822800000,64779.7,65144.0,64772.4,65063.0,1242.095
1771823700000,65063.0,65192.6,64877.6,65012.6,923.786
1771824600000,65012.6,65100.0,64979.3,64987.1,370.128
1771825500000,64987.1,65056.2,64925.8,65032.9,357.965
1771826400000,65032.9,65352.4,64991.9,65330.1,1158.522
1771827300000,65330.1,65421.5,65254.7,65271.5,710.139
1771828200000,65271.5,65645.2,65241.3,65501.0,1204.196
1771829100000,65501.0,65782.6,65485.1,65715.5,898.193
1771830000000,65715.5,65862.6,65654.2,65750.0,979.498
1771830900000,65750.0,65805.4,65589.8,65654.1,692.395
1771831800000,65654.1,65979.5,65635.4,65912.2,886.61
1771832700000,65912.2,65954.5,65855.2,65916.7,518.651
1771833600000,65916.7,65926.0,65662.8,65820.0,782.145
1771834500000,65820.0,65852.8,65556.6,65647.4,799.365
1771835400000,65647.4,65701.4,65550.0,65590.3,429.41
1771836300000,65590.3,65678.3,65528.0,65638.9,393.206
1771837200000,65638.9,65809.9,65638.9,65783.7,465.982
1771838100000,65783.7,65841.2,65677.0,65807.3,284.353
1771839000000,65807.3,66306.9,65784.1,66251.6,1931.815
1771839900000,66251.6,66441.8,66213.2,66378.3,1458.628
1771840800000,66378.3,66574.8,66268.0,66288.3,1315.592
1771841700000,66288.3,66488.9,66230.0,66332.1,586.307
1771842600000,66332.1,66358.5,66179.4,66309.9,630.875
1771843500000,66309.9,66388.9,66209.7,66295.0,594.49
1771844400000,66295.0,66354.1,66214.3,66343.0,323.361
1771845300000,66343.0,66465.0,66277.0,66287.6,513.617
1771846200000,66287.6,66295.0,66071.9,66095.1,1156.619
1771847100000,66095.1,66195.0,66065.0,66166.4,535.638
1771848000000,66166.4,66230.2,66125.0,66186.8,337.344
1771848900000,66186.8,66210.4,66000.2,66106.6,700.161
1771849800000,66106.6,66485.1,65845.6,66391.4,2424.218
1771850700000,66391.4,66497.9,66181.5,66246.0,864.328
1771851600000,66246.0,66350.5,66165.0,66190.6,419.039
1771852500000,66190.6,66234.6,66086.0,66195.3,516.236
1771853400000,66195.3,66395.5,66104.8,66322.6,633.057
1771854300000,66322.6,66342.5,66064.0,66097.4,690.208
1771855200000,66097.4,66244.1,66081.0,66218.5,489.153
1771856100000,66218.5,66225.4,66004.4,66050.3,500.791
1771857000000,66050.3,66195.7,65488.0,65799.8,3631.395
